;Allemagne;Autriche;Belgique;Bulgarie;Chypre;Croatie;Danemark;Espagne;Estonie;Finlande;France;Grèce;Hongrie;Irlande;Italie;Lettonie;Lituanie;Luxembourg;Malte;PaysBas;Pologne;Portugal;République tchèque;Roumanie;RoyaumeUni;Slovaquie;Slovénie;Suède;Total;;;
2000;10,26;1,4;4,24$;;;;1,64;10,8;;1,39;12,38;5,53;;2,52;10,81;;;0,89;;2,24;;3,21;;;7,86;;;1,2;72,70  ;;;
2001;10,25;1,39;3,99;;;;1,35;13,56;;1,02;$;5,73;;2,31;8,6;;;0,89;;1,68;;2,92;;;5,86;;;1,08;66,13  ;;;
2002;11,7;1,56;4,34;;;;1,47;15,21;;1,21;12,16;4,68;;2,6;8,2;;;0,95;;1,59;;3,87;;;6,16;;;1,24;68,48  ;;;
2003;10,59;1,58;4,48;;;;1,49;15,88;;1,35;13,36;4,85;;2,69;10,63;;;1,1;;1,99;;4,77;;;6,17;;;1,45;72,78  ;;;
2004;11,75;1,62;5,16;;0,15;;1,59;16,36;0,2;1,37;12,94;5,81;0,71;2,81;10,37;0,27;0,49;1,13;0,08;2,12;2,72;4,41;0,82;;7,13;0,39;0,28;1,45;82,75  ;;;
2005;12,28;1,79;5,58;;0,22;;1,55;14,82;0,25;1,35;13,62;5,6;1,36;2,49;10,7;0,39;0,67;1,11;0,13;2,09;4,03;3,88;1,07;;8,67;0,61;0,37;1,56;86,75  ;;;
2006;12,24;1,83;5,63;;0,24;;1,5;12,88;0,3;1,28;13,5;6,83;1,84;2,46;10,92;0,4;0,8;1,17;0,16;2,19;5,31;3,64;1,33;;8,29;0,7;0,41;1,57;87,32  ;;;
2007;12,48;1,6;5,68;0,59;0,13;;1,45;12,8;0,38;1,42;13,9;8,43;2,43;2,16;11,32;0,68;1,04;1,26;0,09;1,92;7,79;3,9;1,72;1,6;7,42;1,08;0,39;1,66;93,41  ;;;
2008;11,19;1,78;6,11;0,97;0,13;;1,56;12,09;0,37;1,32;13,72;8,51;2;2,05;10,31;0,61;1,13;1,41;0,09;2,27;7,64;4,12;2,44;2,67;7,31;1,24;0,46;1,46;93,89  ;;;
2009;11,7;1,82;6,23;0,98;0,17;;1,33;11,6;0,72;1,21;13,6;5,43;3,57;1,38;9,37;0,75;1,79;1,45;0,07;1,85;9,25;3,72;2,17;2,95;6,25;1,19;0,62;1,45;94,45  ;;;
2010;11,83;1,82;6,15;1,22;0,18;;1,53;13,19;0,81;1,31;13,11;5,75;3,65;2,07;9,5;0,84;1,6;1,55;0,11;2,15;11,82;4,38;3,42;2,32;6,75;1,91;0,76;1,65;103,42;;;
2011;12,13;1,88;6,8;1,11;0,18;;1,47;13,6;0,5;1,29;13,16;6,54;5,33;1,64;9,59;0,91;1,65;1,55;0,14;2,06;14,44;4,72;3,03;2,66;6,57;1,79;0,85;1,76;103,22;;;
2012;12,25;1,86;6,97;1,73;0,15;;1,44;14,26;0,95;1,32;12,89;6,35;4,18;2,01;10,96;1,18;1,83;1,53;0,14;2,12;15,74;6,79;4,53;3,45;6,93;2,29;0,93;1,57;112,98;;;
2013;13,06;1,86;7,21;1,98;0,23;0,29;1,43;13,75;0,97;1,5;14,24;7,21;5,91;1,87;12,55;1,06;1,88;1,6;0,17;2,26;16,18;6,16;4,89;5,56;6,31;2,03;0,81;1,66;124,38;;;
2014;11,48;1,57;7,04;2,26;0,27;0,58;1,51;11,54;0,67;1,06;13,48;7,09;6,62;1,56;10,7;1,06;1,89;1,71;0,25;2,01;17,44;4,94;4,38;5,94;6,98;1,67;1,14;1,69;116,53;;;
2015;11,01;1,79;6,95;2,73;0,2;0,6;1,53;13,7;0,44;1,33;14,47;6,21;5,63;2,01;12,34;0,98;0,88;1,65;0,13;2,36;13,36;2,6;7,07;6,54;7,46;3,73;0,94;1,47;118,6;;;
2016;10,08;1,94;7,33;2,35;0,19;0,92;1,43;11,59;0,67;1,53;11,27;5,85;4,55;2,04;11,59;0,73;1,48;1,79;0,21;2,29;10,64;3,38;4,69;7,36;7,05;2,66;0,54;1,71;112,08;;;
2017;10,93;1,74;7,36;1,9;0,21;0,66;1,46;9,66;0,65;1,5;13,51;5,13;4,05;1,82;9,8;0,74;1,57;1,83;0,2;2,42;11,92;3,98;3,89;4,74;6,33;1,65;0,48;1,5;94,97;;;
2018;12,05;1,95;8,51;2,17;0,26;1,12;1,41;12,27;0,76;1,48;14,78;4,87;6,3;2,06;10,34;1,21;2,07;2,01;0,16;2,47;16,35;5,01;4,12;4,87;6,63;2,46;0,93;1,81;122,12;;;
2019;12,21;2,02;8,78;2,2;0,27;2,07;1,5;11,27;1,17;1,54;15,09;5,26;6,2;2,07;11,39;1,55;1,55;2,06;0,26;2,56;16,37;4,37;5,28;5,13;7,64;2,3;0,94;1,71;124,36;;;
2020;12,57;2,12;9,05;2,23;0,23;2,69;1,53;12,81;1,08;1,56;15,85;7,41;6,14;2,25;11,86;1,32;2,59;2,44;0,2;2,74;18,09;5,31;5,54;6,98;6,83;2,59;1,05;2,19;140,22;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;